,screenName,tweet,retweet,favorite_count,created,source
36,Suaib821,Get free bitcoins instantly! Wheel of Bitcoin - Spin the wheel for free Bitcoins - https://t.co/rUrUbRH2Uv,0,0,2018-12-21,Twitter
37,ArizonaEosio,#EOS #TELOS #WORBLI #Bitcoin #Litecoin #Monero #Ethereum #ZCash #MaidSafe @ChainRift https://t.co/hgunRA5LSR,1,1,2018-12-21,Twitter
38,NeoInformes,⚫️ La minería de Bitcoin contamina tanto al año como un millón de vuelos trasatlánticos #Alerta https://t.co/pKgBTUkKbW,0,0,2018-12-21,Twitter
39,Ivancalkins,RT @getongab: Declined by yet another bank for payment processing. Losing count at this point it is between 15-20 banks that have declined.…,373,0,2018-12-21,Twitter
40,IntuitEcon,"RT @BM_Baruch: Bear #Stock market is another reason #Crypto bear market is over

Many $SPY $QQQ $DOW investors sold this month

Many wished…",2,0,2018-12-21,Twitter
41,Blanc_Otaku,@Lord_Mandalore What it looks like when someone tells me to invest in bitcoin.,0,1,2018-12-21,Twitter
42,Stocktrader,"Report: Out of 460 Million Bitcoin Addresses, Only 37% ‘Economically Relevant’ https://t.co/l6fmDjG32V",0,0,2018-12-21,Twitter
43,USBitcoinServcs,"Claim Your $ONION Christmas Gift. 

The FINAL day to claim $ONION reward is 5 Jan 2019

https://t.co/yBLy5bTUIb… https://t.co/HrKPrKiTyj",0,0,2018-12-21,Twitter
44,BlockChannel,BlockChannel:Cashy Web Application Boosts Script Contracts in Bitcoin Cash https://t.co/r4OqZozT4u https://t.co/tl8wzWUvFs,0,0,2018-12-21,Twitter
45,judge_anderson,"RT @bitkeyapp: @WhalePanda A company will pay close attention to the government's expectations. In China, bitcoin and cryptocurrency are wo…",1,0,2018-12-21,Twitter
46,MurrayKilpatri1,Bitcoin Cash turning into Bitcoin Platinum.,0,0,2018-12-21,Twitter
47,subbujois,"RT @CryptoCoinsNews: Pro-Bitcoin Ron Paul: It’s Time to Abolish Federal Reserve, Embrace Tax-Free Crypto https://t.co/TSJIq0CYr3",85,0,2018-12-21,Twitter
48,HonchoXRP,RT @Bakkt: New today from @Rubinations @WSJ: “The first futures contract that will pay out in cryptocurrency rather than cash is expected t…,687,0,2018-12-21,Twitter
49,bitlyfool,Study: Asia Has More Impact on Bitcoin Price Than America and Europe - https://t.co/5ykDA4n3Kg https://t.co/L0Ieq1GAKw,0,0,2018-12-21,Twitter
50,BrickstringTech,"@fiatjaf I agree, but the really complex smart contract multisig use cases (MAST) are what will end up making sure… https://t.co/kpHjUoN7k5",0,0,2018-12-21,Twitter
51,judge_anderson,"RT @CsideCrypto: Futures Contracts Specification:  #FOTA vs #Bitmex vs #OKex 

#Cryptocurrency #Bitcoin #Crypto #Fintech #Blockchain   $FOT…",1,0,2018-12-21,Twitter
52,nikolai68843464,RT @MScDigital: Boost Your Career in FinTech with the World's #1 Degree Program for Bitcoin and Blockchain. Apply Today! https://t.co/GkIYL…,3475,0,2018-12-21,Twitter
53,KenyaBitcoins,Cashy Web Application Boosts Script Contracts in Bitcoin Cash https://t.co/fqDg9np9HH https://t.co/NZgdce8oxL,0,0,2018-12-21,Twitter
54,purplehexed,Essentially what is happening in the larger economy is fuel for Bitcoin. Trump and his administration play a role in this as well.,0,0,2018-12-21,Twitter
55,bitcoin_nerd,"New post: ""Cashy Web Application Boosts Script Contracts in Bitcoin Cash"" https://t.co/h0ohWS9wws",0,0,2018-12-21,Twitter
56,louieyatco,"RT @CRYPTOVERLOAD: CIRCLE CEO - Jeremy Allaire 🔍🗞

‘’#bitcoin has a very relevant role to play as a non sovereign store of value’’

‘’I don…",50,0,2018-12-21,Twitter
57,JoaoAACardoso,"RT @blckchaindaily: .@Bakkt, Intercontinental Exchange’s #bitcoin (BTC) futures trading platform, is expected to get regulatory approval. S…",10,0,2018-12-21,Twitter
58,paperbackjunky1,RT @kittiefightHQ: https://t.co/074AfOUmdV #ethereum #Eth #Bitcoin #dapps #BUDL #Crypto #cryptocurrency,168,0,2018-12-21,Twitter
59,BM_Baruch,"RT @BM_Baruch: Bear #Stock market is another reason #Crypto bear market is over

Many $SPY $QQQ $DOW investors sold this month

Many wished…",2,0,2018-12-21,Twitter
60,ProEnlace,🔵 El bitcoin traerá consecuencias devastadoras para el planeta en menos de 2 décadas https://t.co/tSfK4gkOSz,0,0,2018-12-21,Twitter
61,cryptonewsrev,bCommerce opens voting on Bitcoin SV logo https://t.co/7rAh2yNBVa #Bitcoin https://t.co/OZToyrOvt4,0,0,2018-12-21,Twitter
62,AlanaamdairyFa1,RT @Cointelegraph: Broadcasting Bitcoin with satellites could provide extra cover and accessibility in the event of widespread internet fai…,62,0,2018-12-21,Twitter
63,BitcoinDood,RT @MagnoliaSlim601: Somebody tell Apple we need a bitcoin emoji!,9,0,2018-12-21,Twitter
64,wycliffeos,RT @VenditExchange: Learn how @VenditExchange is transforming the way #crypto is viewed. #massadoption  @libereum @PACcoinOfficial @Lindapr…,2,0,2018-12-21,Twitter
65,Bitcc_,"International #basketballDay 
I can accept failure,but I will never give up
#bitcoin #BCHABC https://t.co/hpabYDMWN2",0,0,2018-12-21,Twitter
66,FXtradenote,"RT @kybernetwork_JP: 皆さんこんにちは！WBTC (Wrapped Bitcoin) に関する技術・ガバナンスの進捗をお知らせいたします！ 

最初のWBTCトークンの鋳造やバーン、さらに加わったローンチパートナーについて、ぜひ詳細を御覧ください！  
ht…",7,0,2018-12-21,Twitter
67,flipa77,@OTC_Bitcoin smoke and mirrors. Love it.,0,0,2018-12-21,Twitter
68,BM_Baruch,"Bear #Stock market is another reason #Crypto bear market is over

Many $SPY $QQQ $DOW investors sold this month

Ma… https://t.co/j3YqBBxvPv",2,1,2018-12-21,Twitter
69,cryptomehh,Is preserved a piece of one of the lake. #twitterbot #crypto #cryptocurrency #bitcoin #ethereum,0,0,2018-12-21,Twitter
70,ayumi_ayumi22,"Ripple Bitcoin 仮想通貨

■科学技術省！

NEM Philippinesも DakakBeachResort 2018/11/23
↑Facebook
■

■ノアコイン Noahcoin
https://t.co/foazXCPcwV",0,0,2018-12-21,Twitter
71,BlockChannel,RT @TorBair: Looks like Bitcoin just got renewed for another season,3,0,2018-12-21,Twitter
72,Darith2018,"RT @ForcepointLabs: New blog - The Nightmare Before Christmas - Bomb Threats and Bitcoin
https://t.co/jhdGYC5wkp

Forcepoint Security Labs…",2,0,2018-12-21,Twitter
73,TrueSchoolVince,"RT @xlm_usd: Pro-Bitcoin Ron Paul: It’s Time to Abolish Federal Reserve, Embrace Tax-Free Crypto https://t.co/SQ6AW3FPuw via @cryptocoinsne…",5,0,2018-12-21,Twitter
74,BobbyMiko,"RT @officialmcafee: Bitcoin $4,100. Alt coins are cranking. The general mood is elevated. Business deals are flourishing. Is the Bull in to…",118,0,2018-12-21,Twitter
75,YTitser,BestChange - Claim free Bitcoin and get e-currency exchange rates! https://t.co/x6gv4T4QPW #bitcoin,0,0,2018-12-21,Twitter
76,CsideCrypto,"Futures Contracts Specification:  #FOTA vs #Bitmex vs #OKex 

#Cryptocurrency #Bitcoin #Crypto #Fintech #Blockchain… https://t.co/MLFN9Tagme",1,1,2018-12-21,Twitter
77,BrandonnSvnchez,Uh oh bitcoin cash is looking real nice rn,0,0,2018-12-21,Twitter
78,bitkeyapp,"@WhalePanda A company will pay close attention to the government's expectations. In China, bitcoin and cryptocurren… https://t.co/FNGOKZp7IF",1,0,2018-12-21,Twitter
79,AlanaamdairyFa1,"RT @officialmcafee: Bitcoin now over $4,000. It's looking more and more like the market has turned. If it has turned, this is only the begi…",430,0,2018-12-21,Twitter
80,CryptoHerbalist,"RT @CryptoCoinsNews: Pro-Bitcoin Ron Paul: It’s Time to Abolish Federal Reserve, Embrace Tax-Free Crypto https://t.co/TSJIq0CYr3",85,0,2018-12-21,Twitter
81,judge_anderson,RT @purankuri11: 🎈BLOCKSTREAM IS BROADCASTING THE BITCOIN BLOCKCHAIN FROM SPACE🃏 https://t.co/tm0yKYoexY https://t.co/b8fJL36rPP,1,0,2018-12-21,Twitter
82,subbujois,RT @crypto: Wall Street’s most prominent Bitcoin forecaster has given up forecasting Bitcoin https://t.co/ndrJ7KrDGT,121,0,2018-12-21,Twitter
83,nicholasds,"RT @officialmcafee: Bitcoin $4,100. Alt coins are cranking. The general mood is elevated. Business deals are flourishing. Is the Bull in to…",118,0,2018-12-21,Twitter
84,judge_anderson,"RT @blckchaindaily: .@Bakkt, Intercontinental Exchange’s #bitcoin (BTC) futures trading platform, is expected to get regulatory approval. S…",10,0,2018-12-21,Twitter
85,GucluAyk,RT @Bakkt: New today from @Rubinations @WSJ: “The first futures contract that will pay out in cryptocurrency rather than cash is expected t…,687,0,2018-12-21,Twitter
86,faizallhadi,"RT @officialmcafee: Bitcoin $4,100. Alt coins are cranking. The general mood is elevated. Business deals are flourishing. Is the Bull in to…",118,0,2018-12-21,Twitter
87,NovaTerra7,RT @christhinraj: @officialmcafee @NovaTerra7 moon 🚀🚀🚀 next Bitcoin,1,0,2018-12-21,Twitter
88,Patriotson1,"RT @officialmcafee: Bitcoin $4,100. Alt coins are cranking. The general mood is elevated. Business deals are flourishing. Is the Bull in to…",118,0,2018-12-21,Twitter
89,doc_bitcoin,mind = blown https://t.co/p564GlkQh2,0,1,2018-12-21,Twitter
90,judge_anderson,RT @CoinSurvivor: Think uncle mining means one's parent's brother connecting a machine to the bitcoin network. Similar to a #bitcoins orpha…,1,0,2018-12-21,Twitter
91,DaletheWisdom,"RT @RapidsRPD: The new #Rapids website is up &amp; running ahead of schedule! 

 Just in time for additional December surprises... 🤫 🎅 

 ‼️ Li…",199,0,2018-12-21,Twitter
92,Steven_McKie,RT @TorBair: Looks like Bitcoin just got renewed for another season,3,0,2018-12-21,Twitter
93,Sword_Ronin,"RT @officialmcafee: Bitcoin $4,100. Alt coins are cranking. The general mood is elevated. Business deals are flourishing. Is the Bull in to…",118,0,2018-12-21,Twitter
94,Moustaf93755293,"RT @VHANZ_1412: Join now TKT Bounty @TwinkleOfficia6

Sign up $TKT bounty to earn $7000 worth of tokens! 
https://t.co/5HbbRaZM5C
https://t…",131,0,2018-12-21,Twitter
95,DaletheWisdom,"RT @Marckselll: 🚀🚀🚀Poll of the week🚀🚀🚀

The question of the week:

Did we see the botton of btc yet and is the only way from now on up ?

U…",137,0,2018-12-21,Twitter
96,BFowCC,Nice day for bitcoin. It's been a while,0,1,2018-12-21,Twitter
97,9GRpfa9dHuPTN3W,【！速報！】【悲報】株初心者さん、逝ってしまう・・・・・ｗ https://t.co/I9gkYokPSE,0,0,2018-12-21,Twitter
98,9GRpfa9dHuPTN3W,【！速報！】ビッチ 9000円で1000枚仕込んでたから笑いがとまらんｗｗｗ https://t.co/VdcRZEj20m,0,0,2018-12-21,Twitter
99,BCroxz,"Long/Short Bitcoin moves with up to 100x Leverage at Bitmex !~

Receive a 10% Fee Reduction:

Click here:… https://t.co/lUFx2FoOE7",0,0,2018-12-21,Twitter
